participantID,imageID,categoryCode,duration,words
02,090,00110,5.707385,0
02,091,00110,8.802427,0
02,092,00111,9.35161,5
02,093,00110,7.654249,0
02,094,00110,8.236986,0
02,095,00110,8.120246,0
02,096,00110,8.003986,0
02,097,00110,9.667954,0
02,098,00110,15.0,0
02,099,00111,9.800771,2
02,100,00111,9.002066,11
02,101,00110,8.137068,0
02,102,00111,6.140119,4
02,103,00110,8.68614,0
02,104,00110,12.06387,0
02,105,10110,15.0,0
02,106,10011,9.784442,12
02,107,10111,8.619713,6
02,108,10001,15.0,27
02,109,10011,6.023589,7
02,110,10001,5.52455,12
02,111,10001,5.790778,5
02,112,10001,7.188506,9
02,113,10101,8.403285,22
02,114,10001,7.288254,3
02,115,10001,7.604294,7
02,116,10111,11.349222,17
02,117,10111,7.188577,6
02,118,10001,10.61617,23
02,119,10001,7.42129,16
02,120,10001,15.0,26
02,121,10101,7.920788,11
02,122,10111,10.815913,7
02,123,10111,6.938906,4
02,124,10111,8.486377,14
02,125,10001,8.735601,17
02,126,00011,10.400519,24
02,127,00011,7.820662,5
02,128,01001,14.560069,19
02,129,01001,5.657491,10
02,130,01001,11.515174,25
02,131,00111,6.057116,16
02,132,00101,7.654756,12
02,133,00101,6.506297,10
02,134,00111,10.300049,24
02,135,10111,15.0,3
02,136,00111,12.080697,25
02,137,00111,6.872429,4
02,138,00111,9.052178,23
02,139,00111,15.0,14
02,140,00111,14.643189,22
02,141,10011,15.0,45
02,142,00001,5.25819,14
02,143,00001,8.935618,19
02,144,00001,13.661902,74
02,145,00011,10.821301,39
02,146,10001,15.0,73
02,147,10001,10.732817,19
02,148,10001,10.416607,36
02,149,10001,7.304816,34
02,150,10011,14.593403,52
02,151,10011,15.0,50
02,152,10011,15.0,47
03,001,10100,5.540926,0
03,002,10100,5.40812,0
03,003,10000,7.071926,0
03,004,10100,8.402615,0
03,005,10100,5.973412,0
03,006,10000,6.689281,0
03,007,10000,6.240033,0
03,008,10100,6.339853,0
03,009,10100,5.906546,0
03,010,10000,5.690864,0
03,011,01001,5.874563,7
03,012,01001,12.146687,34
03,013,01001,5.723964,15
03,014,01000,6.522795,0
03,015,01001,7.155691,6
03,016,01001,6.372793,19
03,017,01001,5.524059,12
03,018,01000,7.121554,0
03,019,01000,5.790578,0
03,020,01000,5.923526,0
03,021,01000,7.954206,0
03,022,01000,5.374379,0
03,023,01000,5.890602,0
03,024,01000,6.369685,0
03,025,01000,9.118365,0
03,026,01000,5.790607,0
03,027,01000,6.539524,0
03,028,01000,5.990366,0
03,029,01000,5.474366,0
03,030,01000,6.073216,0
03,031,01000,5.823402,0
03,032,01000,5.075032,0
03,033,00101,7.38823,25
03,034,00100,7.12254,0
03,035,00100,7.221319,0
03,036,00100,5.80775,0
03,037,00100,6.42271,0
03,038,00100,5.091784,0
03,039,00100,6.37273,0
03,040,00100,7.288401,0
03,041,00100,6.140161,0
03,042,00100,6.739258,0
03,043,00100,6.85611,0
03,044,00100,6.805088,0
03,045,00100,5.790692,0
03,046,00100,6.173239,0
03,047,00100,5.291689,0
03,048,00100,7.421456,0
03,049,00100,5.5909,0
03,050,00100,6.040353,0
03,051,00100,5.620454,0
03,052,00100,5.608107,0
03,053,00100,6.073631,0
03,054,00100,7.355317,0
03,055,00100,6.622666,0
03,056,00100,8.386506,0
03,057,00100,6.306896,0
03,058,00100,5.673857,0
03,059,00100,5.557923,0
03,060,00100,5.64098,0
03,061,00100,5.862173,0
03,062,00100,5.291411,0
03,063,00100,5.906656,0
03,064,00100,5.091622,0
03,065,00100,8.186927,0
03,066,00100,5.923425,0
03,067,00100,6.739284,0
03,068,00100,7.28492,0
03,069,00100,7.438133,0
03,070,00100,6.239986,0
03,071,00100,5.856791,0
03,072,00100,5.756972,0
03,073,00100,12.07916,0
03,074,00101,5.907216,3
03,075,00100,7.30429,0
03,076,00101,5.19175,2
03,077,00100,5.724206,0
03,078,00100,5.506933,0
03,079,00100,6.007287,0
03,080,00100,7.038744,0
03,081,00100,6.606236,0
03,082,00101,5.324386,2
03,083,00100,5.174559,0
03,084,00101,5.507296,0
03,085,00100,5.706835,0
03,086,00100,6.207145,0
03,087,00101,5.990427,6
03,089,00110,5.707595,0
03,090,00110,5.524108,0
03,091,00110,5.724129,0
03,092,00111,9.018509,5
03,093,00110,6.555688,0
03,094,00110,7.088673,0
03,095,00110,5.058007,0
03,096,00110,5.458383,0
03,097,00110,5.557244,0
03,098,00110,8.419486,0
03,099,00111,6.839086,2
03,100,00111,6.854979,11
03,101,00110,8.436684,0
03,102,00111,5.541224,4
03,103,00110,5.673879,0
03,104,00110,6.02428,0
03,105,10110,7.803745,0
03,106,10011,6.92268,12
03,107,10111,6.872272,6
03,108,10001,9.967892,27
03,109,10011,5.541229,7
03,110,10001,5.058575,12
03,111,10001,5.874444,5
03,112,10001,6.405939,9
03,113,10101,10.216423,22
03,114,10001,5.907231,3
03,115,10001,6.223317,7
03,116,10111,8.170077,17
03,117,10111,6.822432,6
03,118,10001,8.186912,23
03,119,10001,6.922103,16
03,120,10001,8.619435,26
03,121,10101,7.326318,11
03,122,10111,7.654507,7
03,123,10111,5.178973,4
03,124,10111,9.051689,14
03,125,10001,6.722064,17
03,126,00011,8.486385,24
03,127,00011,6.373001,5
03,128,01001,8.070432,19
03,129,01001,5.491263,10
03,130,01001,6.323888,25
03,131,00111,5.640983,16
03,132,00101,5.275616,12
03,133,00101,7.305456,10
03,134,00111,7.704924,24
03,135,10111,6.489613,3
03,136,00111,9.784372,25
03,137,00111,5.99046,4
03,138,00111,7.23842,23
03,139,00111,9.1356,14
03,140,00111,5.790684,22
03,141,10011,14.194414,45
03,142,00001,5.074718,14
03,143,00001,7.004962,19
03,144,00001,15.0,74
03,145,00011,11.082281,39
03,146,10001,14.826263,73
03,147,10001,7.033885,19
03,148,10001,10.583194,36
03,149,10001,13.058619,34
03,150,10011,10.948628,52
03,151,10011,13.944933,50
03,152,10011,13.394672,47
04,001,10100,6.756312,0
04,002,10100,6.339962,0
04,003,10000,7.970149,0
04,004,10100,9.934032,0
04,005,10100,9.101515,0
04,006,10000,7.521165,0
