filename,N,R,REC,D_L,DET,H_L,V_L,LAM,CORM
P18_IMG140_00111_rqa_data.npz,41,61,7.439024390243903,21,34.42622950819672,15,16,25.40983606557377,34.26229508196721
P03_IMG058_00100_rqa_data.npz,19,10,5.847953216374269,2,20.0,2,3,25.0,19.444444444444443
P09_IMG097_00110_rqa_data.npz,27,38,10.826210826210826,8,21.05263157894737,12,11,30.263157894736842,38.663967611336034
P41_IMG105_10110_rqa_data.npz,46,28,2.7053140096618358,6,21.428571428571427,4,6,17.857142857142858,28.80952380952381
P47_IMG075_00100_rqa_data.npz,19,23,13.450292397660819,15,65.21739130434783,10,11,45.65217391304348,41.78743961352657
P44_IMG041_00100_rqa_data.npz,20,8,4.2105263157894735,0,0.0,2,0,12.5,50.0
P14_IMG099_00111_rqa_data.npz,24,52,18.840579710144926,19,36.53846153846154,23,29,50.0,34.11371237458194
P40_IMG102_00111_rqa_data.npz,21,53,25.238095238095237,23,43.39622641509434,32,17,46.22641509433962,40.094339622641506
P05_IMG012_01001_rqa_data.npz,60,34,1.92090395480226,5,14.705882352941176,12,6,26.470588235294116,11.066799601196411
P43_IMG136_00111_rqa_data.npz,56,53,3.4415584415584415,8,15.09433962264151,6,6,11.320754716981131,33.58490566037736
P49_IMG132_00101_rqa_data.npz,28,19,5.026455026455026,5,26.31578947368421,6,6,31.57894736842105,36.8421052631579
P18_IMG090_00110_rqa_data.npz,18,50,32.6797385620915,31,62.0,37,40,77.0,39.05882352941177
P41_IMG039_00100_rqa_data.npz,53,44,3.193033381712627,4,9.090909090909092,12,12,27.272727272727273,26.3986013986014
P45_IMG026_01000_rqa_data.npz,22,10,4.329004329004329,0,0.0,2,0,10.0,37.142857142857146
P14_IMG015_01001_rqa_data.npz,27,53,15.0997150997151,25,47.16981132075472,27,38,61.320754716981135,35.99419448476052
P37_IMG109_10011_rqa_data.npz,22,13,5.627705627705628,0,0.0,4,4,30.76923076923077,27.106227106227106
P28_IMG152_10011_rqa_data.npz,45,19,1.9191919191919191,9,47.36842105263158,4,0,10.526315789473685,14.23444976076555
P29_IMG111_10001_rqa_data.npz,11,4,7.2727272727272725,2,50.0,2,2,50.0,42.5
P17_IMG044_00100_rqa_data.npz,26,21,6.461538461538462,4,19.047619047619047,3,9,28.571428571428573,26.666666666666668
P14_IMG070_00100_rqa_data.npz,15,12,11.428571428571429,0,0.0,6,0,25.0,38.095238095238095
