trial_id,participant_id,image_id,duration_s,valid_pct,n_fix,mean_fix_dur,first_fix_latency,mean_sacc_amp,pupil_mean_0p5_2s
P15_IMG027_01000,P15,IMG027,15.033333333332092,1.0,33,410.1010101009725,0.0,0.16326609713178736,0.19363805749914156
P15_IMG028_01000,P15,IMG028,15.05,1.0,44,283.3333333337849,50.0,0.19090958432900867,-0.018887027279361274
P15_IMG029_01000,P15,IMG029,15.05,1.0,47,269.5035460990002,0.0,0.20460053261317065,-0.010202581232244318
P15_IMG030_01000,P15,IMG030,14.95,1.0,46,273.55072463733023,0.0,0.1740789706876365,0.000895322024167239
P15_IMG031_01000,P15,IMG031,15.0,1.0,41,316.6666666667272,100.0,0.16155700027164965,-0.19468756036444024
P15_IMG032_01000,P15,IMG032,15.05,1.0,36,350.4629629632044,66.66666666790843,0.20049682411722633,-0.026433336865770967
P15_IMG033_00101,P15,IMG033,15.05,1.0,52,237.82051282046507,0.0,0.2224258012650253,-0.29208709381438874
P15_IMG034_00100,P15,IMG034,14.716666666667908,1.0,35,384.28571428614003,83.33333333209157,0.13869711555694644,-0.6507402357164328
P15_IMG035_00100,P15,IMG035,15.05,1.0,39,338.46153846153845,66.66666666790843,0.1954909959874665,-0.07719035725017165
P15_IMG036_00100,P15,IMG036,15.033333333332092,1.0,32,412.49999999953434,50.0,0.20589007714424676,-0.16443558577652817
P15_IMG037_00100,P15,IMG037,15.05,1.0,35,387.61904761865736,0.0,0.1876221794608772,-0.0056852403577867545
P15_IMG038_00100,P15,IMG038,15.016666666664182,1.0,37,322.52252252198554,0.0,0.20848789923141317,-0.6267668895232372
P15_IMG039_00100,P15,IMG039,15.033333333332092,1.0,44,293.56060606097293,0.0,0.20145588528852834,-0.3750923911293784
P15_IMG040_00100,P15,IMG040,15.05,1.0,41,319.9186991869313,0.0,0.21621016634620954,0.2600195748465402
P15_IMG041_00100,P15,IMG041,15.033333333332092,1.0,33,410.60606060594773,0.0,0.206585813622356,-0.21998696798806663
P15_IMG042_00100,P15,IMG042,15.033333333332092,1.0,28,489.8809523808637,0.0,0.21620952760683604,-0.005028860909598219
P15_IMG043_00100,P15,IMG043,15.05,1.0,35,385.23809523805977,0.0,0.19149907794844193,0.23868904532967034
P15_IMG044_00100,P15,IMG044,15.05,1.0,34,403.4313725490561,0.0,0.16581435346859846,-0.16304359855232659
P15_IMG045_00100,P15,IMG045,15.033333333332092,1.0,43,301.5503875970147,0.0,0.20858975459433998,0.025785509046617434
P15_IMG046_00100,P15,IMG046,15.05,1.0,42,311.50793650764086,0.0,0.170032315730614,-0.28938494671832066
P15_IMG047_00100,P15,IMG047,15.05,1.0,41,317.0731707317073,66.66666666418314,0.22656981311854926,0.25930693909362124
P15_IMG048_00100,P15,IMG048,15.05,1.0,48,263.54166666682187,0.0,0.21257726712212502,-0.04280903575184582
P15_IMG049_00100,P15,IMG049,15.05,1.0,35,383.33333333315596,0.0,0.16714299808473157,-0.17735760028545672
P15_IMG050_00100,P15,IMG050,15.033333333332092,1.0,49,255.44217687062158,0.0,0.23127536371117974,-0.40658829238388566
P15_IMG051_00100,P15,IMG051,15.033333333332092,1.0,39,325.21367521307025,0.0,0.2215319355251875,0.003458966265667916
P15_IMG052_00100,P15,IMG052,15.033333333332092,1.0,40,317.08333333339544,0.0,0.25463100747577666,-0.013300637637867662
P15_IMG053_00100,P15,IMG053,15.016666666664182,1.0,43,298.44961240350506,0.0,0.21208251907014644,-0.23123186090019304
P15_IMG054_00100,P15,IMG054,15.033333333332092,1.0,33,403.0303030306417,83.33333333209157,0.19862054447366456,-0.06498046148390985
P15_IMG055_00100,P15,IMG055,15.05,1.0,43,303.8759689924502,0.0,0.1952048045436746,-0.04127795879657452
P15_IMG056_00100,P15,IMG056,15.05,1.0,39,343.1623931623613,0.0,0.1878442359676964,-0.07267140818166205
P15_IMG057_00100,P15,IMG057,15.033333333335817,1.0,35,372.3809523812362,0.0,0.21287485403776862,0.10631318144745878
P15_IMG058_00100,P15,IMG058,15.05,1.0,40,319.5833333329298,0.0,0.24985283482102721,-0.04056004115513393
P15_IMG059_00100,P15,IMG059,15.05,1.0,34,388.2352941177566,0.0,0.19319687287658302,-0.2001184316781851
P15_IMG060_00100,P15,IMG060,15.033333333332092,1.0,30,468.8888888888061,0.0,0.1125816121072622,0.058612865406078296
P15_IMG061_00100,P15,IMG061,15.05,1.0,27,383.3333333330574,0.0,0.2699062760569691,-0.06313139527708615
